property_type,neighborhood,address,room_num,floor,area,garden_area,days_to_enter,num_of_payments,monthly_arnona,building_tax,total_floors,description,has_parking,has_storage,elevator,ac,handicap,has_bars,has_safe_room,has_balcony,is_furnished,is_renovated,price,num_of_images,distance_from_center
דירה,הצפון הישן החלק המרכזי,ויזל 9,3,3,78,,0,12,500,200,4,"רחוב: ויזל

הצפון הישן 

הליכה לים,מיקום מעולה.

דירה של  3  חדרים,כ - 74  מטר, מסודרת מוארת מקסימה ואיכותית.

סלון עם מטבח פתוח.

מוארת 

כוון אויר טובים.

קומה 3 ללא מעלית.

כניסה : 1.9.2022",0,0,0,1,0,0,0,0,0,1,8500,4,1130
דירה,הצפון הישן החלק המרכזי,בן יהודה 166,4,2,80,,0,12,500,200,5,"ברחוב בן יהודה ליד ז׳בוטינסקי וחוף הילטון מרוהטת ומשופצת מלאה באור 
גודל - 80 מטר 
חדרים -3 
מרפסת קטנה 
מלאת אור 
קומה -2 
שירותים כפולים 
כניסה מיידית",0,0,0,1,0,0,0,0,0,1,9700,4,533
דירה,הצפון הישן החלק המרכזי,הפרדס 3,2,2,55,,0,12,450,100,5,"3 חדרים, 70 מטר. משופצת מהיסוד.

מרוהטת.

קומה 2 לחזית. בניין משופץ עם קודן.

מאובזרת לחלוטין (מכונת כביסה בוש חדשה, תנוא, מיקרו, מקרר, אבזור מלא של המטבח, מיטה ומזרן. שולחנות וכיסאות

ועד בית 100 ש""ח

דירה שקטה ומוארת מאוד (כיוונים דרום ומזרח). מזגנים בכל חדר.

כניסה מידית.",0,0,0,1,0,0,0,0,1,1,9999,3,1169
דירת גן,הצפון הישן החלק המרכזי,לסל 6,3,0,70,40,0,12,550,250,4,"להשכרה !!  מחיר: 8800 ש""ח 
רחוב: לסל
דירת גן
הקסום ליד כיכר אתרים/חוף גורדון!!
3 חדרים
כ- 75 מ""ר + 40 מ""ר גינה
כניסה פרטית לדירה,
קומת קרקע
2 חדרי שינה+סלון + חצר.
מתאימה לזוג/2 שותפים
יש חיבור לגז ומ.כביסה,
צריך 2 ערבים, צ'קים אנשים מסודרים מול הרשויות
כניסה מידית
 .",0,0,0,1,0,1,0,1,0,1,8800,13,1218
דירה,הצפון הישן החלק המרכזי,ארלוזורוב 65,2.5,0,70,,0,12,500,200,4,"רחוב: ארלוזורב, ליד: יהושע בנון.
בבניין חדש מקבלן, דירת קרקע 2.5 חדרים מהממת.
70 מ""ר, ממ""ד, חצר משותפת לשימוש הדיירים.
מותר בע""ח",0,0,0,1,0,1,1,0,0,1,8000,3,626
דירה,הצפון הישן החלק המרכזי,אליהו בחור 6,2,0,42,,0,12,450,250,4,"אליהו בחור/עמנואל הרומי
2 חדרים 42 מ""ר קומת קרקע 
משופצת כחדשה עם פרקט חדש בכל הדירה
מרווחת ושקטה 
מקלחון דוד שמש
נישאר בדירה: מקרר תנור כיריים ארון
כניסה מיידית
ועד 100 ש""ח
ארנונה לחודשיים 380 ש""ח
מתאימה לזוג 
כניסה מידית.",0,0,0,1,0,1,0,0,0,1,6000,7,967
דירה,הצפון הישן החלק המרכזי,פרנקפורט 9,4,1,120,,0,12,1000,250,2,"מרכז תל אביב 

בביניין אינטימי דירת 4 חדרים 120 מטר ( סלון ענק ,חדר שינה גדול ועוד שני חדרי שינה לא גדולים)

חנייה

(3 חניות טוריות לשלושת דיירי הביניין)

+ גג ענק מרוצף צמוד לדירה מחדר המדרגות.

.מתאימה למישפחה ..או לשותפים איכותיים

( הדירה מישתפצת עכשיו)

הסכם לשנה + אופציה

כניסה מידית.",1,0,0,1,0,0,0,1,0,1,12000,5,384
דירה,הצפון הישן החלק המרכזי,ארלוזורוב 33,1,1,27,,0,12,250,50,4,"דירה חדר כ - 27  מטר מסודרת מוארת מקסימה ואיכותית.
פונה לעורף.
קרובה לרכבת צפון.
בניין עם קודן ואינטרקום.
כניסה מידית.",0,0,0,1,0,1,0,0,0,1,3200,3,247
דירה,הצפון הישן החלק המרכזי,אהרון דוד גורדון 33,3,2,75,,0,12,400,200,4,"בקרבת הים 
רחוב גורדון המבוקש
דירת 3 חדרים יפייפיה. מעוצבת.
75 מ""ר + מרפסת.
קומה 3 עם מעלית.
מרוהטת קומפלט!
מחיר- 9,000₪
כניסה ב 1/12/2021
חוזה לשנה אחת",0,0,0,1,0,0,0,1,1,1,9000,11,1055
דירה,הצפון הישן החלק המרכזי,בן יהודה 188,1,0,30,,0,12,250,90,5,"דירת סטודיו חמודה ומדליקה + חצר צמודה עורפית ונעימה . 15 מ""ר נעימים וחצר בן יהודה עורף קרוב לז'בוטינסקי והים בבניין פנימי בדירה יש מקררר שולחן ואפשרות למיטה.
יציאה לחצר מתוך הדירה",0,0,0,1,0,1,0,1,0,0,3100,3,466
דירה,הצפון הישן החלק המרכזי,הירקון 202,2,0,60,,0,12,399,60,4,"דירת 2 חדרים מדהימה ....!
+ חצי חדר פתוח .
ברחוב הירקון & ירמיהו מול חוף מציצים תל אביב.!
- במיקום הכי טוב של הצפון הישן והשקט..!
- משופצת חדש ..!!!
- הדירה מגיעה מרוהטת עד הפרט האחרון ברמת איכות גבוה.!!!!
- 60 מטר ...!
- קומה פרטר יורדים 4 מדרגות.
- שקטה ונעימה .
- תאריך כניסה 07.2021
- בע""ח באהבה",0,0,0,1,0,1,0,0,0,1,6000,7,854
דירה,הצפון הישן החלק המרכזי,פרנקפורט  11,4,3,104,,,12,1100,450,4,"דירה של  4  חדרים,כ - 104 מטר, סלון עם מטבח פתוח פלוס פינת אוכל.
סלון עם פינת עבודה.
חדרי שינה עם מזגנים .פלוס מקלחת ושרותים צמודים.
יח' הורים עם מקלחת ושורתים. 
ובנוסף עוד שרותים ואמבטיה. ושרותי נוספים.
נשאר בדירה: תנור,כיריים,מדיח, 3 אונות מיטה נוער,מכונת כביסה.
מושלמת למשפחה לא לשותפים.
ארנונה לחודשיים 110 ש""ח 
ועד:450 ש""ח 
בניין טוב עם אינטרקום וקודן.
חניה צמודה,ומעלית.
כניסה: 1.7.21",1,0,1,1,0,0,0,0,0,0,11000,4,410
דופלקס,בית שטראוס,מונטיפיורי 21,3,3,90,20,,12,350,,4,"השכרה, דופלקס, קומה 3, תל אביב יפו",1,0,1,1,1,0,1,1,1,0,11000,4,3544
דירת גן,בית שטראוס,נחלת בנימין 37,3,0,65,30,0,12,380,280,0,"דירת דופלקס גן. בקומה עליונה חדר, ממ""ד וחדר רחצה ושירותים. בקומה התחתונה הכוללת גם כניסה פרטית מהחצר חדר אורחים, מטבח וחדר רחצה ושירותים. לדירה חצר מחולקת לשני מפלסים היכולה לשמש גם לחניית דו גלגלי ומאפשרת כניסה פרטית ישירה לדירה. המטבח כולל תנור, כיריים אינדוקציה ומדיח. אפשרי כניסה מיידית.",0,1,1,1,0,0,1,0,0,1,9800,6,3409
דירה,בית שטראוס,גרוזנברג 6,4,0,110,,0,12,,,3,גרוזנברג6 תל אביב קרוב לים ולרוטשילד. דירה מרוהטת. קומת קרקע. ליד מקלט ציבורי. מזגן.מכונת כביסה. 4חדרים 2אמבטיות ומקלחת. לחודש 7500שח כולל ארנונה ועד-בית ואינטרנט. דניאל,0,0,0,1,0,1,0,1,1,1,7500,9,3280
דירה,בית שטראוס,"שפ""ר",4,4,120,,,12,,,6,"דירת 4 חדרים חדשה גדולה ומרווחת בבניין חדש לאחר שימור ושיפוץ במיקום מצויין בלב העיר בקרבה לחוף הים ולמרכז העיר.
גודל הדירה 100 מ""ר בנוי + 20 מ""ר מרפסות שמש עם נוף פתוח.
בדירה יש ממ""ד.
לדירה חניה פרטית.
דירה מעוצבת ומשודרגת בעלת מפרט בנייה גבוה ואיכותי.",1,0,1,1,1,1,1,1,0,1,12000,10,3859
דירת גן,בית שטראוס,"מזא""ה 12",3,0,135,60,0,12,600,500,6,"A special Pearl in the heart of Tel Aviv!
""Journal / magazine"" Garden duplex apartment.
* Designed architecturally in a top luxury, high end !
* A perfect location!!
* Fully furnished!
* 2 bedrooms + a service room.
A huge master bedroom of
55 sqm with an exit to a private Jaccuzy...
130 sqm built + 60 sqm garden and balcony.
A Charming Garden
* A parking + a storage.
Asking price - 24,000 nis

Keys at the office!
Possible for SHORT TERMS!",1,1,1,1,1,1,1,1,1,1,22000,6,2940
דירה,בית שטראוס,"מזא""ה 5",3.5,2,100,,0,12,500,230,5,"ברחוב מז""אה, 3.5 חדרים עם חניה
בבניין מתוחזק לאחר שיפוץ חיצוני
מזרחי לרוטשילד
קומה 1 ללא מעלית
כ 100 מ״ר
2 מרפסות
חניה משותפת עוקבת
משופצת כחדשה, פרקט בחדרים, מרווחת מוארת עורפית ושקטה, חדר 1 מרווח ו2 סטנדרטים
2 שירותים אמבטיה 1
דוד שמש
בדירה תנור וכיריים
מתאים למשפחה / 3 שותפים
אפשר בע״ח
כניסה: 3.8",0,0,0,1,0,0,0,1,0,1,11900,11,3054
דירה,בית שטראוס,"רמב""ם 3",2,2,38,,0,12,300,200,4,"קומה א

חדר

ענק 38 מטר עם מרפסת

כולל חשבונות

אין תו

יש ארון מקרר מיטה

כניסה מידית.",0,0,0,1,0,0,0,0,0,1,5800,7,3327
